# water_k, water_j,reference_k
282.443728,352834279.7,277.061332
282.411465,375840396.9,276.942107
282.383146,340046816.5,276.847545
282.362851,306700049.8,276.771762
282.347574,273102826.7,276.711955
282.335822,236403575.8,276.666883
282.327019,251636463.9,276.618877
282.315873,270452725.4,276.569745
282.302784,285523884.7,276.521043
282.288575,301073438.5,276.473197
282.273398,318961953.2,276.422752
282.25716,334257674.7,276.371164
282.240213,349285516.8,276.318874
282.222595,366455467.6,276.265707
282.204112,363532123.8,276.215591
282.186645,358091396.9,276.168251
282.1702,355221121.3,276.122729
282.154876,352590853.7,276.078819
282.126367,618394103.1,275.893323
282.089185,618645073.5,275.743759
282.05775,611720531.4,275.61611
282.030297,608451931.4,275.503212
282.005222,606565228.2,275.401624
281.98177,567148346.7,275.32049
281.962997,528063226.4,275.256684
281.947854,484462290.6,275.209326
281.936137,438877693.4,275.177604
281.927596,383200707.6,275.157357
281.922882,325625120.9,275.148377
281.921754,266393371.9,275.150431
281.924023,205499729,275.163318
281.92954,196552782.1,275.167452
281.933283,188833494.8,275.166461
281.935956,184802215.2,275.161765
281.937648,176758763,275.155006
281.939036,150725504.8,275.149971
281.941888,121312955.3,275.146782
281.946253,95765979.15,275.144751
281.951585,70764973.01,275.143864
281.957798,81342913.97,275.140112
281.961615,91393365.29,275.134463
281.963767,98399334.63,275.127914
281.964896,108189635,275.120252
281.964914,114959070.8,275.111269
281.964276,121416518.2,275.101279
281.963075,127697342.6,275.090489
281.961382,133829616.1,275.079051
281.959257,177740844.5,275.052574
281.953285,220052480.5,275.015695
281.944396,259089022.6,274.971263
281.933313,296824506.2,274.921257
281.921103,258837726.2,274.945736
281.916521,217809081.9,275.041724
281.919494,178499988.9,275.195899
281.929521,143528782.6,275.396743
281.94581,122633542.6,275.631928
